events,transcript,recalled,recall_duration,recall_wordcount
1,"And it starts out with these three guys on that old game show, to tell the truth, and they have to guess which one is the real guy.
I don't remember his name, but he was this guy that supposedly posed as a pediatrician and airline pilot at the same time, for a couple of years before he finally got caught.",1,17,60
2,,0,,0
3,And then they showed the flashback to the scene where he got caught in France.,1,2,15
4,,0,,0
5,"He was in jail, and he was really sick when he was in jail, and he managed to run away anyway.",1,4,21
6,"He was in jail, and he was really sick when he was in jail, and he managed to run away anyway.",1,4,21
7,"And you know, you couldn't really tell if he was actually sick or if he was just faking it pretending but I think he actually was, and they managed to catch him and that was pretty much it for that one.",1,8,41
8,"That one, my favorite one was the one with the, the second one, there was a woman sitting in an apartment, it's animated, it's digitally animated.",1,7,26
9,"And she puts a record on the record player and then it skips, and she gets all annoyed, and she fixes it, and then she notices whenever she does something to the record player, it sends her to a different place, a different part of her life.",1,10,47
10,"She puts it on a different song and then like all of a sudden she's in a different apartment, and then she's pregnant, and she notices like the more, the more she fools around with the record, and adjust it, it just makes her like more and more pregnant, and she makes it go backwards to make herself less pregnant, and then she makes herself more pregnant by fooling around with it even more, then all of a sudden she's holding a baby.",1,14,83
11,"You know, then she fools around with the record player some more. It makes her get old, then makes her get younger again, then makes her you know switches her to a different apartment, and then a wheelchair, she broke her leg and then she can't do anything with the record player again,  ",1,11,55
12,"You know, then she fools around with the record player some more. It makes her get old, then makes her get younger again, then makes her you know switches her to a different apartment, and then a wheelchair, she broke her leg and then she can't do anything with the record player again,  ",1,11,55
13,"and then she just keeps fiddling with the record player and adjusting it, and then she keeps doing that, it keeps taking her through more stages of life until at the end she's dead and she's cremated in an urn.",1,10,40
14,"There was like this couple sitting down eating dinner together, and the woman's like all annoyed at her boyfriend, because I don't know whatever she's just annoyed with him.",1,6,29
15,,0,,0
16,,0,,0
17,,0,,0
18,,0,,0
19,"And then it turns out he's actually a robot because she could see a switch on the back of his neck and then she called the company that she got him from, to trade him in because she didn't like him, ",1,8,42
20,"And then it turns out he's actually a robot because she could see a switch on the back of his neck and then she called the company that she got him from, to trade him in because she didn't like him, and then she picked out a new robot that she liked better, and then they delivered the new one.",1,12,60
21,"and then she picked out a new robot that she liked better, and then they delivered the new one.",1,3,19
22,"And the new one was you know, taking more of an interest in her, you know asking her how her day was, you know, like she thought she was happier with him, but then it turns out he doesn't really like her either.",1,9,43
23,"He's getting annoyed with her, so and then you realize that she's a robot too, and he just turns her off and goes and does his own thing.",1,6,28
24,"He's getting annoyed with her, so and then you realize that she's a robot too, and he just turns her off and goes and does his own thing.",1,6,28
25,,0,,0
26,,0,,0
27,"And then another movie, another movie was about, this was this little short about this guy that's walking down the street while he's drinking a little carton of milk. And he sees this girl that he likes across the street and he's kind of flirting with her, and they're kind of like dancing back and forth and you know just like flirting with each other across the street, and then he's not paying attention to where he's going.",1,17,78
